"contrast","gene","log2FoldChange","baseMean","stat","pvalue","padj","positive_group","negative_group","positive_n","negative_n"
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234273_AT",-0.0379253333333303,6.37393966666667,-0.467946247099347,0.640670415844629,0.745376521018702,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234274_AT",0.0277656666666699,3.96662316666667,0.949410016284957,0.344317163629853,0.476305159824273,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234275_AT",0.0535080000000097,5.19988116666667,1.8206657059584,0.071145372151325,0.138672369240475,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234276_AT",0.219617833333333,4.53725325,1.94952512220603,0.053561777421874,0.110050522568089,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234277_AT",0.0323111666666698,3.64708291666666,1.1290267943456,0.261134834284859,0.386856048683403,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234278_AT",0.0556370000000035,5.13739433333334,0.398415426013624,0.691030828090164,0.785470805073215,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","TNFAIP8L3",-0.285454499999999,5.02552791666667,-3.22956221070518,0.00159900695158817,0.00558597644127489,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234282_AT",0.0448725000000048,3.85651075,1.07504542940315,0.284507672536919,0.412480298629664,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234283_AT",0.0530483333333365,5.08788083333333,1.22782029243416,0.221913488627855,0.34106102201991,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","GNG8",0.10707033333334,5.60299316666667,1.5509103088757,0.123552278460992,0.216417435162873,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234287_AT",0.122583000000004,5.44327116666667,3.67574014606295,0.000355721240642873,0.00150008223207655,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","LOC101929628",0.00463933333333388,3.65151316666667,0.205282592608128,0.837698596047253,0.894696006152461,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234289_X_AT",-0.0317019999999943,3.682004,-1.28838984438946,0.200084854496908,0.315383745168524,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","RP5-1061H20-3",0.176998500000011,6.14401458333333,3.49059701283087,0.000674684786495745,0.0026369061817882,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234298_AT",0.0962178333333368,4.47974591666667,1.41769912233206,0.158865822348166,0.263650545435833,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
